lemma_id,params,atoms,weights,kind
kurtosis_tail,"{""kappa"": ""3/2"", ""t"": ""4""}",4;sqrt(870)/30;-sqrt(870)/30,1/451;225/451 - 2*sqrt(870)/13079;2*sqrt(870)/13079 + 225/451,exact
kurtosis_tail,"{""kappa"": ""2"", ""t"": ""1/2""}","{""event"": [0.726255879, 0.439919519, 0.293028899, 0.216041593, 0.174177641], ""support"": [0.273744121, -0.439919519, 0.706971101, -1.136135399, 1.825822359]}",,split-moments
kurtosis_tail,"{""kappa"": ""2"", ""t"": ""4/5""}",4/5;-5/4,25/41;16/41,exact
kurtosis_tail,"{""kappa"": ""2"", ""t"": ""1""}",1;-1,1/2;1/2,exact
kurtosis_tail,"{""kappa"": ""2"", ""t"": ""6/5""}",6/5;-5/6,25/61;36/61,exact
kurtosis_tail,"{""kappa"": ""2"", ""t"": ""3/2""}",3/2;-2/3,4/13;9/13,exact
kurtosis_tail,"{""kappa"": ""2"", ""t"": ""2""}",2;sqrt(6)/3;-sqrt(6)/3,1/10;9/20 - sqrt(6)/20;sqrt(6)/20 + 9/20,exact
kurtosis_tail,"{""kappa"": ""2"", ""t"": ""3""}",3;sqrt(14)/4;-sqrt(14)/4,1/65;32/65 - 3*sqrt(14)/455;3*sqrt(14)/455 + 32/65,exact
kurtosis_tail,"{""kappa"": ""2"", ""t"": ""4""}",4;sqrt(210)/15;-sqrt(210)/15,1/226;225/452 - sqrt(210)/1582;sqrt(210)/1582 + 225/452,exact
kurtosis_tail,"{""kappa"": ""3"", ""t"": ""1/2""}","{""event"": [0.789626515, 0.406026575, 0.216357614, 0.124059124, 0.080927816], ""support"": [0.210373485, -0.406026575, 0.783642386, -1.51245122, 2.919072184]}",,split-moments
kurtosis_tail,"{""kappa"": ""3"", ""t"": ""4/5""}",4/5;-5/4,25/41;16/41,exact
kurtosis_tail,"{""kappa"": ""3"", ""t"": ""1""}",1;-1,1/2;1/2,exact
kurtosis_tail,"{""kappa"": ""3"", ""t"": ""6/5""}",6/5;-5/6,25/61;36/61,exact
kurtosis_tail,"{""kappa"": ""3"", ""t"": ""3/2""}",3/2;-2/3,4/13;9/13,exact
kurtosis_tail,"{""kappa"": ""3"", ""t"": ""2""}",2;sqrt(3)/3;-sqrt(3)/3,2/11;9/22 - 2*sqrt(3)/11;2*sqrt(3)/11 + 9/22,exact
kurtosis_tail,"{""kappa"": ""3"", ""t"": ""3""}",3;sqrt(3)/2;-sqrt(3)/2,1/33;16/33 - sqrt(3)/33;sqrt(3)/33 + 16/33,exact
kurtosis_tail,"{""kappa"": ""3"", ""t"": ""4""}",4;sqrt(195)/15;-sqrt(195)/15,2/227;225/454 - 4*sqrt(195)/2951;4*sqrt(195)/2951 + 225/454,exact
kurtosis_tail,"{""kappa"": ""6"", ""t"": ""1/2""}",1/2;-2,4/5;1/5,exact
kurtosis_tail,"{""kappa"": ""6"", ""t"": ""4/5""}",4/5;-5/4,25/41;16/41,exact
kurtosis_tail,"{""kappa"": ""6"", ""t"": ""1""}",1;-1,1/2;1/2,exact
kurtosis_tail,"{""kappa"": ""6"", ""t"": ""6/5""}",6/5;-5/6,25/61;36/61,exact
kurtosis_tail,"{""kappa"": ""6"", ""t"": ""3/2""}",3/2;-2/3,4/13;9/13,exact
kurtosis_tail,"{""kappa"": ""6"", ""t"": ""2""}",2;-1/2,1/5;4/5,exact
kurtosis_tail,"{""kappa"": ""6"", ""t"": ""3""}",3;sqrt(6)/4;-sqrt(6)/4,5/69;32/69 - 5*sqrt(6)/69;5*sqrt(6)/69 + 32/69,exact
kurtosis_tail,"{""kappa"": ""6"", ""t"": ""4""}",4;sqrt(6)/3;-sqrt(6)/3,1/46;45/92 - sqrt(6)/46;sqrt(6)/46 + 45/92,exact
kurtosis_tail,"{""kappa"": ""9"", ""t"": ""1/2""}",1/2;-2,4/5;1/5,exact
kurtosis_tail,"{""kappa"": ""9"", ""t"": ""4/5""}",4/5;-5/4,25/41;16/41,exact
kurtosis_tail,"{""kappa"": ""9"", ""t"": ""1""}",1;-1,1/2;1/2,exact
kurtosis_tail,"{""kappa"": ""9"", ""t"": ""6/5""}",6/5;-5/6,25/61;36/61,exact
kurtosis_tail,"{""kappa"": ""9"", ""t"": ""3/2""}",3/2;-2/3,4/13;9/13,exact
kurtosis_tail,"{""kappa"": ""9"", ""t"": ""2""}",2;-1/2,1/5;4/5,exact
kurtosis_tail,"{""kappa"": ""9"", ""t"": ""3""}",3;-1/3,1/10;9/10,exact
kurtosis_tail,"{""kappa"": ""9"", ""t"": ""4""}",4;sqrt(105)/15;-sqrt(105)/15,8/233;225/466 - 16*sqrt(105)/1631;16*sqrt(105)/1631 + 225/466,exact
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""2"", ""t"": ""1""}","{""event"": [0.0, 0.0, 0.0, 0.0, 0.0], ""support"": [1.0, -0.0, 1.0, -1.0, 2.0]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""2"", ""t"": ""3/2""}","{""event"": [0.0, 0.0, -0.0, -0.0, -0.0], ""support"": [1.0, -0.0, 1.0, -1.0, 2.0]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""2"", ""t"": ""2""}","{""event"": [0.0, -0.0, -0.0, -0.0, -0.0], ""support"": [1.0, 0.0, 1.0, -1.0, 2.0]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""2"", ""t"": ""3""}","{""event"": [0.0, -0.0, -0.0, -0.0, -0.0], ""support"": [1.0, 0.0, 1.0, -1.0, 2.0]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""3"", ""t"": ""1""}","{""event"": [0.333333333, 0.333333333, 0.333333333, 0.333333333, 0.333333333], ""support"": [0.666666667, -0.333333333, 0.666666667, -1.333333333, 2.666666666]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""3"", ""t"": ""3/2""}","{""event"": [0.092485549, 0.138728324, 0.208092486, 0.312138728, 0.468208092], ""support"": [0.907514451, -0.138728324, 0.791907514, -1.312138728, 2.531791907]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""3"", ""t"": ""2""}","{""event"": [0.033333333, 0.066666667, 0.133333333, 0.266666667, 0.533333333], ""support"": [0.966666667, -0.066666667, 0.866666667, -1.266666667, 2.466666667]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""3"", ""t"": ""3""}","{""event"": [0.007633588, 0.022900763, 0.06870229, 0.20610687, 0.618320611], ""support"": [0.992366412, -0.022900763, 0.93129771, -1.20610687, 2.381679389]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""6"", ""t"": ""1""}","{""event"": [0.444444444, 0.444444444, 0.444444444, 0.444444444, 0.444444445], ""support"": [0.555555556, -0.444444444, 0.555555556, -1.444444444, 5.555555555]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""6"", ""t"": ""3/2""}","{""event"": [0.194528875, 0.291793313, 0.43768997, 0.656534954, 0.984802432], ""support"": [0.805471125, -0.291793313, 0.56231003, -1.656534954, 5.015197568]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""6"", ""t"": ""2""}","{""event"": [0.088888889, 0.177777778, 0.355555556, 0.711111111, 1.422222222], ""support"": [0.911111111, -0.177777778, 0.644444444, -1.711111111, 4.577777777]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1"", ""kappa"": ""6"", ""t"": ""3""}","{""event"": [0.02484472, 0.074534161, 0.223602484, 0.670807453, 2.01242236], ""support"": [0.97515528, -0.074534161, 0.776397516, -1.670807453, 3.987577639]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""2"", ""t"": ""1""}","{""event"": [0.428571429, 0.428571429, 0.428571429, 0.428571429, 0.428571429], ""support"": [0.571428571, -0.428571429, 0.571428571, -0.928571429, 1.571428571]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""2"", ""t"": ""3/2""}","{""event"": [0.116504854, 0.174757282, 0.262135922, 0.393203883, 0.589805825], ""support"": [0.883495146, -0.174757282, 0.737864078, -0.893203883, 1.410194175]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""2"", ""t"": ""2""}","{""event"": [0.037974684, 0.075949367, 0.151898734, 0.303797468, 0.607594937], ""support"": [0.962025316, -0.075949367, 0.848101266, -0.803797468, 1.392405063]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""2"", ""t"": ""3""}","{""event"": [0.007672634, 0.023017903, 0.069053708, 0.207161125, 0.621483376], ""support"": [0.992327366, -0.023017903, 0.930946292, -0.707161125, 1.378516624]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""3"", ""t"": ""1""}","{""event"": [0.466666667, 0.466666667, 0.466666667, 0.466666667, 0.466666667], ""support"": [0.533333333, -0.466666667, 0.533333333, -0.966666667, 2.533333333]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""3"", ""t"": ""3/2""}","{""event"": [0.180645161, 0.270967742, 0.406451613, 0.609677419, 0.914516129], ""support"": [0.819354839, -0.270967742, 0.593548387, -1.109677419, 2.085483871]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""3"", ""t"": ""2""}","{""event"": [0.070707071, 0.141414141, 0.282828283, 0.565656566, 1.131313131], ""support"": [0.929292929, -0.141414141, 0.717171717, -1.065656566, 1.868686868]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""3"", ""t"": ""3""}","{""event"": [0.016241299, 0.048723898, 0.146171694, 0.438515081, 1.315545244], ""support"": [0.983758701, -0.048723898, 0.853828306, -0.938515081, 1.684454756]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""6"", ""t"": ""1""}","{""event"": [0.487179487, 0.487179487, 0.487179487, 0.487179487, 0.487179488], ""support"": [0.512820513, -0.487179487, 0.512820513, -0.987179487, 5.512820511]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""6"", ""t"": ""3/2""}","{""event"": [0.24437299, 0.366559486, 0.549839228, 0.824758842, 1.237138264], ""support"": [0.75562701, -0.366559486, 0.450160772, -1.324758842, 4.762861736]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""6"", ""t"": ""2""}","{""event"": [0.119496855, 0.238993711, 0.477987421, 0.955974843, 1.911949686], ""support"": [0.880503145, -0.238993711, 0.522012579, -1.455974843, 4.088050312]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""-1/2"", ""kappa"": ""6"", ""t"": ""3""}","{""event"": [0.034482759, 0.103448276, 0.310344827, 0.931034482, 2.793103449], ""support"": [0.965517241, -0.103448276, 0.689655173, -1.431034482, 3.20689655]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""2"", ""t"": ""1""}","{""event"": [0.5, 0.5, 0.5, 0.500001864, 0.856608857], ""support"": [0.5, -0.5, 0.5, -0.500001864, 0.97938478]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""2"", ""t"": ""3/2""}","{""event"": [0.207792208, 0.311688312, 0.467532468, 0.701298701, 1.051948052], ""support"": [0.792207792, -0.311688312, 0.532467532, -0.701298701, 0.948051948]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""2"", ""t"": ""2""}","{""event"": [0.071428571, 0.142857143, 0.285714286, 0.571428571, 1.142857143], ""support"": [0.928571429, -0.142857143, 0.714285714, -0.571428571, 0.857142857]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""2"", ""t"": ""3""}","{""event"": [0.013513514, 0.040540541, 0.121621622, 0.364864865, 1.094594595], ""support"": [0.986486486, -0.040540541, 0.878378378, -0.364864865, 0.905405405]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""3"", ""t"": ""1""}","{""event"": [0.5, 0.5, 0.5, 0.50000367, 1.363839381], ""support"": [0.5, -0.5, 0.5, -0.50000367, 1.318360492]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""3"", ""t"": ""3/2""}","{""event"": [0.248062016, 0.372093023, 0.558139535, 0.837209302, 1.255813953], ""support"": [0.751937984, -0.372093023, 0.441860465, -0.837209302, 1.744186046]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""3"", ""t"": ""2""}","{""event"": [0.105263158, 0.210526316, 0.421052632, 0.842105263, 1.684210526], ""support"": [0.894736842, -0.210526316, 0.578947368, -0.842105263, 1.315789474]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""3"", ""t"": ""3""}","{""event"": [0.023809524, 0.071428571, 0.214285714, 0.642857143, 1.928571429], ""support"": [0.976190476, -0.071428571, 0.785714286, -0.642857143, 1.071428571]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""6"", ""t"": ""1""}","{""event"": [0.5, 0.5, 0.5, 0.500004833, 2.728541618], ""support"": [0.5, -0.5, 0.5, -0.500004833, 1.994444492]}",,split-moments
